Date,Sunspot
1750-01-01,96.7
1750-01-31,104.3
1750-03-02,116.7
1750-04-01,92.8
1750-05-01,141.7
1750-05-31,139.2
1750-06-30,158
1750-07-30,110.5
1750-08-29,126.5
1750-09-28,125.8
1750-10-28,264.3
1750-11-27,142
1750-12-27,122.2
1751-01-26,126.5
1751-02-25,148.7
1751-03-27,147.2
1751-04-26,150
1751-05-26,166.7
1751-06-25,142.3
1751-07-25,171.7
1751-08-24,152
1751-09-23,109.5
1751-10-23,105.5
1751-11-22,125.7
1751-12-22,116.7
1752-01-21,72.5
1752-02-20,75.5
1752-03-21,94
1752-04-20,101.2
1752-05-20,84.5
1752-06-19,110.5
1752-07-19,99.7
1752-08-18,39.2
1752-09-17,38.7
1752-10-17,47.5
1752-11-16,73.3
1752-12-16,58.3
1753-01-15,83.3
1753-02-14,118.3
1753-03-16,98.8
1753-04-15,99.5
1753-05-15,66
1753-06-14,130.7
1753-07-14,48.8
1753-08-13,45.2
1753-09-12,77.7
1753-10-12,62.7
1753-11-11,66.7
1753-12-11,73.3
1754-01-10,53.3
1754-02-09,76.2
1754-03-11,63.3
1754-04-10,60
1754-05-10,52.8
1754-06-09,36.7
1754-07-09,65
1754-08-08,46.7
1754-09-07,41.7
1754-10-07,33.3
1754-11-06,11.2
1754-12-06,0
1755-01-05,5
1755-02-04,2.8
1755-03-06,22.8
1755-04-05,34.5
1755-05-05,44.5
1755-06-04,31.3
1755-07-04,20.5
1755-08-03,13.7
1755-09-02,40.2
1755-10-02,22
1755-11-01,7
1755-12-01,17
1755-12-31,18.7
1756-01-30,11.3
1756-02-29,10.8
1756-03-30,0
1756-04-29,0
1756-05-29,14.3
1756-06-28,5.3
1756-07-28,29.7
1756-08-27,39.5
1756-09-26,11.3
1756-10-26,33.3
1756-11-25,20.8
1756-12-25,11.8
1757-01-24,9
1757-02-23,15.7
1757-03-25,20.8
1757-04-24,21.5
1757-05-24,6
1757-06-23,10.7
1757-07-23,19.7
1757-08-22,23.8
1757-09-21,28.3
1757-10-21,15.7
1757-11-20,23.5
1757-12-20,35.3
1758-01-19,43.7
1758-02-18,50
1758-03-20,63.5
1758-04-19,21.3
1758-05-19,41.7
1758-06-18,85.5
1758-07-18,66.2
1758-08-17,54.2
1758-09-16,107.8
1758-10-16,55.8
1758-11-15,62.7
1758-12-15,86.7
1759-01-14,81.7
1759-02-13,120.5
1759-03-15,77.3
1759-04-14,75
1759-05-14,73.3
1759-06-13,64.5
1759-07-13,104.2
1759-08-12,62.8
1759-09-11,71.7
1759-10-11,71.7
1759-11-10,80.5
1759-12-10,73.3
1760-01-09,78
1760-02-08,78.3
1760-03-09,81.7
1760-04-08,83.3
1760-05-08,85
1760-06-07,118.8
1760-07-07,128.7
1760-08-06,99.5
1760-09-05,77.2
1760-10-05,95
1760-11-04,112.2
1760-12-04,99.2
1761-01-03,124.5
1761-02-02,97.2
1761-03-04,120
1761-04-03,80.5
1761-05-03,110
1761-06-02,126
1761-07-02,102.2
1761-08-01,84.3
1761-08-31,99.5
