Sales,date
266,1/30/2001
145.9,2/28/2001
183.1,3/30/2001
119.3,4/30/2001
180.3,5/30/2001
168.5,6/30/2001
231.8,7/30/2001
224.5,8/30/2001
192.8,9/30/2001
122.9,10/30/2001
336.5,11/30/2001
185.9,12/30/2001
194.3,1/30/2002
149.5,2/28/2002
210.1,3/30/2002
273.3,4/30/2002
191.4,5/30/2002
287,6/30/2002
226,7/30/2002
303.6,8/30/2002
289.9,9/30/2002
421.6,10/30/2002
264.5,11/30/2002
342.3,12/30/2002
339.7,1/30/2003
440.4,2/28/2003
315.9,3/30/2003
439.3,4/30/2003
401.3,5/30/2003
437.4,6/30/2003
575.5,7/30/2003
407.6,8/30/2003
682,9/30/2003
475.3,10/30/2003
581.3,11/30/2003
646.9,12/30/2003
