Sales,date
266,2001-1-30
145.9,2001-2-30
183.1,2001-3-30
119.3,2001-4-30
180.3,2001-5-30
168.5,2001-6-30
231.8,2001-7-30
224.5,2001-8-30
192.8,2001-9-30
122.9,2001-10-30
336.5,2001-11-30
185.9,2001-12-30
194.3,2002-1-30
149.5,2002-2-30
210.1,2002-3-30
273.3,2002-4-30
191.4,2002-5-30
287,2002-6-30
226,2002-7-30
303.6,2002-8-30
289.9,2002-9-30
421.6,2002-10-30
264.5,2002-11-30
342.3,2002-12-30
339.7,2003-1-30
440.4,2003-2-30
315.9,2003-3-30
439.3,2003-4-30
401.3,2003-5-30
437.4,2003-6-30
575.5,2003-7-30
407.6,2003-8-30
682,2003-9-30
475.3,2003-10-30
581.3,2003-11-30
646.9,2003-12-30
